QUEST_LV_0100_20150312_000001	경계병	Sentinel
QUEST_LV_0100_20150312_000031	받게. 보급품에서 오래된 곡식을 전부 골라내 미끼를 만들었네.{nl}나는 위쪽에서 녀석을 유인해 볼 테니 자넨 여기 벌목지를 맡아 주게.{nl}둘 중 어느 한 곳이던 스파르나스는 반드시 나타날 거야. 놓치지 말고 반드시 처치하세.{nl}	Receive. Mando~uruotone the selection bait all the supplies of old grain. {Nl} I am feeling because'll see by attracting people from above me underwriting here logging area. {Nl}, Suparunasu are always displayed was either location. Be sure to processing Hasegawa without missing. {Nl}
QUEST_LV_0100_20150312_000032	이번이 아니면 다신 잡을 수 없을지도 모르네.{nl}저들도 멍청이는 아닐 테니.	Morne may not be able to catch again If it is not this time. {Nl} because they also would not be a fool.
QUEST_LV_0100_20150312_000033	싸우는 소리가 나서 급히 달려왔네만.. 확실히 처치한 건가?{nl}내 쪽은 샤울렘들만 우글거리더군.{nl}수고했네. 이 모든 공은 자네 덕으로 돌리지. 	Is it but came in a hurry to sound .. certainly defeat to fight? {Nl} is towards me, said Shaururemu only habitat distance. {Nl} was trouble. All of this ball, and turned in your favor.
QUEST_LV_0100_20150312_000034	부관 폴리나	Adjutant Polina
QUEST_LV_0100_20150312_000035	약탈당한 물건은 되찾아와야죠. {nl}그냥 당하고만 있어선 왕국의 군인이라 할 수 없을 겁니다.{nl}	Those that have been looting I will hang and recovered. {Nl} only to do it is to Bakariite will not be able to be a soldier of the kingdom go. {Nl}
QUEST_LV_0100_20150312_000036	빼앗긴 보급품은 각 보급창고에 있는 샤울렘들이 가지고 있다고 합니다.{nl}그 보급품을 되찾아 볼다에게 가져다주십시오.	Stolen supplies, I will with Shaururemu of each supply warehouse has. Please bring to {nl} Borda regained its supplies.
QUEST_LV_0100_20150312_000037	당하고만 사는 것도 지겹고 분합니다.{nl}빨리 원조가 와야 할 텐데 왕국의 무능함에 뭘 기댈 수 있겠습니까.	You are fed up to the minute even buy just been done. {Nl} soon will aid must come or will be able to lean what incompetence in the kingdom.
QUEST_LV_0100_20150312_000038	부관 볼다	Adjutant Borda
QUEST_LV_0100_20150312_000039	다른 일로도 바쁘실 텐데 정말 감사합니다.{nl}당하고만 살 순 없죠. 계속해서 공격을 감행할 생각입니다.	Another job will also be busy Thank you very much. You will not live to just been done {nl}. I'm going to dared attack continued.
QUEST_LV_0100_20150312_000040	비밀의 수호자	Secret guardian
QUEST_LV_0100_20150312_000041	여신께서 이미 예견하신 것이다.{nl}모든 존재는 예지에서 벗어날 수 없다.	It is intended that the goddess has already been foreseen. {Nl} of all existence will not be able to escape from the prediction.
QUEST_LV_0100_20150312_000042	연락관 닐스	Liaison Nils
QUEST_LV_0100_20150312_000043	안녕하십니까.{nl}혹시 길을 잃은 듯한 어르신을 본 적이 있습니까?{nl}성함은 요나스님이고요.{nl}	Hello. {Nl} If you Have you seen the elderly, such as lost? {Nl} name is Jonas like. {Nl}
QUEST_LV_0100_20150312_000044	보지 못하셨다고요.{nl}정신도 오락가락하신 분이 어딜 가신걸까.	N see Motohashoto. {Nl} who spirit was also back and forth where to wonder road.
QUEST_LV_0100_20150312_000045	요나스님은 이 왕릉을 대대로 모시던 가문의 후손이십니다.{nl}저희 연구진에게 있어 중요한 분이니 꼭 부탁하겠습니다.	Jonas like is descendants of the clan who served the king Ling from generation to generation. {Nl} Because it is important minute for our research group, will by all means thank you.
QUEST_LV_0100_20150312_000046	기록관 요나스	Record officer Jonas
QUEST_LV_0100_20150312_000047	우리 가문은 자네를 아주 오랫동안 기다려 왔어.{nl}이제 우리 가문이 지켜온 것을 내어 줄 때가 온 게지.	Our family has been waiting for a very long time for you. {Nl} now, gauge time has come to give it out that our house has been kept.
QUEST_LV_0100_20150312_000048	요나스님께서 정신을 차리셨다니 정말 다행입니다. {nl}봉화를 올린 분은 당신이지요? {nl}	Nante Jonas recommendation has returned to us, it is really appreciated. {Nl} was minute to raise signal fire would you? {Nl}
QUEST_LV_0100_20150312_000049	봉화를 보고 아힐라스님이 오셨습니다.{nl}아래쪽으로 가셔서 만나 보시지요.	Oh Hirasu recommendation has been come to look at the signal fire. {Nl} go down, I'm visit I met.
QUEST_LV_0100_20150312_000050	케펙님께 지원품을 보냈는데 소식이 끊긴 지 오래입니다.{nl}수색 인력이 부족하니 부디 힘을 빌렸으면 합니다.	I sent the Kepeku like assistance goods, but long broke off news. {Nl} research human resources I want to rent all means force because not enough.
QUEST_LV_0100_20150312_000051	사학자 비어드	Historian Beard
QUEST_LV_0100_20150312_000052	언제나 몬스터의 습격에 대비하는 것이 좋네.{nl}특히나 이런 야외에선 말이지.	It is good that always to prepare for the attack of the monster. I especially, in such outdoor {nl}.
QUEST_LV_0100_20150312_000053	용병 미르타	Mercenary meal other
QUEST_LV_0100_20150312_000054	제가 경고했잖습니까?{nl}다음부턴 조심하십시오.	Do not it was my warning? {Nl} Please note the following.
QUEST_LV_0100_20150312_000055	사학자 케펙	Historian Kepeku
QUEST_LV_0100_20150312_000056	보나마나 닐스가 보냈겠지.{nl}뭐, 급하다면 직접 기록해다가 닐스에게 갖다 주던가.	Visit Nils would be sent. {Nl} Well, if you are in a hurry, Judonga have to direct recording approaching Nils.
QUEST_LV_0100_20150312_000057	오른쪽 길을 따라 다리를 건너가면 자카리엘 대왕의 유물이 있어.{nl}그걸 기록해서 닐스에게 갖다 주면 닐스도 납득하겠지.	After crossing the bridge along the right of way, there is a relic of the Great Zasharieru. {Nl} will which was recorded to convince even Nils and should have brought to Nils.
QUEST_LV_0100_20150312_000058	이건 케펙님의 보고서.. 용병 미르타님도 찾으셨다고요. {nl}두 분의 안전만 확인된다면야. 수고하셨습니다.	This Kepeku's report. I think I also look for mercenary meal other like. {Nl} two minutes of safety only to confirm de ~E Sunda Myung ya. Was cheers for good work.
QUEST_LV_0100_20150312_000059	아힐라스 요나스	Oh Hirasuyonasu
QUEST_LV_0100_20150312_000060	이제 그 봉인 해제석을 가지고 부러진 기둥 협곡으로 가십시오.{nl}구스타스의 제자가 그 곳의 봉인을 푸는 방법을 차례대로 알려 줄 것입니다.	Now go to pillar valley that was broken with a unsealed stone. {Nl} Ward Stars disciples you have taught me to order a way to solve the seal of its location.
QUEST_LV_0100_20150312_000061	아직 안내 받지 못하셨나요?{nl}부러진 기둥 협곡에 있는 구스타스의 제자 입니다.{nl}오직 선택받은 이를 들여보내기 위해 만든 것이니까요.	Do not received yet guidance? {Nl} is broken old Stars of disciples in the pillar valley. It because is why were made in order to its over sent {nl} only been selected.
QUEST_LV_0100_20150312_000062	구스타스의 제자	Disciple of the old Stars
QUEST_LV_0100_20150312_000063	파가사 절벽의 봉인을 푸셨습니까?{nl}이제부터가 시작입니다.	Did Mashi release the seal of the waves lyrics cliff? {Nl} is now begins.
QUEST_LV_0100_20150312_000064	바위에 새겨진 문구	Phrase that has been carved into the rock
QUEST_LV_0100_20150312_000065	건드리거나 밀지 마시오.	That it is not pressed or touched.
QUEST_LV_0100_20150312_000066	기다리고 있었습니다.{nl}다음 봉인은 무너진 성소로 가는 길에 있어요.	I've been waiting. {Nl} next seal is at on the way to the collapsed sanctuary.
QUEST_LV_0100_20150312_000067	저희가 이 순간을 얼마나 기다려 왔는지 모르실 겁니다.{nl}정말 뵙고싶었어요.	that we know what has been waiting for this moment how much. {Nl} really I wanted to meet you.
QUEST_LV_0100_20150312_000068	구스타스 요나스	Former Stars Jonas
QUEST_LV_0100_20150312_000069	자네로군. {nl}상상했던 것보다 아주 늠름하군 그래.	I you're. and {nl} very dignified ze likely than I had imagined.
QUEST_LV_0100_20150312_000070	병사 알란	Soldier Alan
QUEST_LV_0100_20150312_000071	신병이지? 신병이구나.{nl}나에게 정찰 임무가 내려왔는데 네가 대신 가야겠다.	In recruits? That's recruits. {Nl} in I reconnaissance mission must go instead of under Sakita you.
QUEST_LV_0100_20150312_000072	신병인데 꽤 하는구나.{nl}뭔가 끔찍한 기억이 떠올라서 거긴 가고싶지 않아.	I've got to pretty though it recruits. {Nl} there do not want to go something terrible memories afloat.
QUEST_LV_0100_20150312_000073	뭔가 기억이 날 것도 같은데..	Although he also this day to remember something.
QUEST_LV_0100_20150312_000074	우린 이 숲에 나타난 가이갈라스를 처치하기 위해 파견된 부대라는건 알지?{nl}신병. 이 보고서를 지휘관 월리스님께 가져다주겠어?	We are know for that troops were dispatched to beat this glass that appeared in this forest? {Nl} recruits. Would bring commander Wallis like this report?
QUEST_LV_0100_20150312_000075	지휘관 월리스	Commander Wallis
QUEST_LV_0100_20150312_000076	알란은 안오고 왜 자네가 정찰 보고서를 들고 오는 건가?{nl}신병인가?	Why you bring the reconnaissance report Alan not come? {Nl} or recruits?
QUEST_LV_0100_20150312_000077	가이갈라스를 잡아야 집에 돌아갈텐데.{nl}아, 그냥 빨리 집에 가고 싶다.	And to go home if unless take Gaigalas. {Nl} Oh, I think I want to go to just fast house.
QUEST_LV_0100_20150312_000078	월리스님은 새발자국 삼거리에 계셔.	Wallis san, woven into a new footprints three-way intersection.
QUEST_LV_0100_20150312_000079	누가 뭐라 해도 자넨 신병이야.{nl}명령이다. 케파레이더의 즙을 가져오게.	Who is to say the You're recruits. Is {nl} command. And bring the juice of Kepareda.
QUEST_LV_0100_20150312_000080	요즘 녀석들은 배짱이 없어. {nl}자네같은 신병이 좋은 기폭제가 되었으면 좋겠군.	Recently people do not have the ball. {Nl} Jotogetogun and if accustomed to you recruit good detonator like.
QUEST_LV_0100_20150312_000081	이번 전투는 무조건 우리의 승리일게 분명해.{nl}왜냐고? 부엉이들이 돕겠다고 했거든.	This battle is unconditional clear that show our victory. {Nl} Why? Was when help is owl.
QUEST_LV_0100_20150312_000082	케파레이더는 이아너티스 폭포 근처에 있다.{nl}가이갈라스를 공략하려면 그게 꼭 필요해.	Kepareda lies close to this Onatisu waterfall. {Nl} To capture Gaigalas, it necessarily.
QUEST_LV_0100_20150312_000083	병사 와이즈	Soldier Wise
QUEST_LV_0100_20150312_000084	신병이 지금 놀고있는 건가?{nl}렝바스 정원의 더키에게서 기름을 구해와.	Whether recruits are playing now? {Nl} Kitabasu from the garden pottery to be seeking oil.
QUEST_LV_0100_20150312_000085	더키 기름으로 가이갈라스를 유인할 거다.{nl}신병, 놀지 마라.	In Doki oil, I to attract Gaigalas. {Nl} recruits, please do not play.
QUEST_LV_0100_20150312_000086	오늘이 가이갈라스의 마지막 날이 될 거다.{nl}신병, 준비 됬나?	Today, I will be the last day of this glass. {Nl} recruit, prepare Do~u~etona?
QUEST_LV_0100_20150312_000087	다음은 렝바스 정원에 사는 크로뉴트의 가죽이다.{nl}빨리 움직여, 신병.	The following is a black Newt leather living in the garden of Rengabasu. {Nl} fast moving, recruits.
QUEST_LV_0100_20150312_000088	이번엔 반드시 승리할거야.{nl}여신께서 우릴 도우고 계신 게 틀림없으니까.	Now I'm going to win always. Since {nl} goddess must have helped us.
QUEST_LV_0100_20150312_000089	신병치곤 훌륭하군.{nl}지금은 어수선하니 그 재료들은 일단 자네가 보관하라.{nl}	The Fururyunhagun In recruits. {Nl} Now After abuzz, the material, please once and you keep. {Nl}
QUEST_LV_0100_20150312_000090	전투 준비를 하는 동안 자넨 우리 병사들과 인사라도 하는 게 좋겠군.{nl}가이갈라스와 붙기 전에 부르도록 하지.	While the combat ready, feel if you our soldiers and Jotogetogun also to the greeting. {Nl} to have to call before you stick with this glass.
QUEST_LV_0100_20150312_000091	더키 기름을 태우면 가이갈라스가 그 냄새를 맡고 기어 나올거다.{nl}렝바스 정원이 적당하겠어.	Gaigalas to burn Doki oil, he comes out the smell gear. {Nl} Kitabasu of garden going appropriate.
QUEST_LV_0100_20150312_000092	가슴이 마구 떨려오는군.{nl}영혼이 마구 고동치는 느낌이야.	I will come trembling rolled chest. {Nl} it's gone soul beat feeling.
QUEST_LV_0100_20150312_000093	오래된 부엉이 조각상	Old owl image
QUEST_LV_0100_20150312_000094	아무도 없는 숲에 어쩐 일이신가요?{nl}	How did you in the forest that nobody? {Nl}
QUEST_LV_0100_20150312_000095	가이갈라스요?{nl}그냥 쓰러뜨리려면 힘들텐데요.	Do intends Gaigalas? Although I think it is difficult to bring down only {nl}.
QUEST_LV_0100_20150312_000096	여기서 너무나도 많은 죽음을 보았어요.{nl}더 이상의 희생은 보고싶지 않아요.	Here I saw too many of death. {Nl} No more sacrifice I do not want to see.
QUEST_LV_0100_20150312_000097	이제 케파레이더의 즙과 크로뉴트의 가죽이 필요해요.{nl}	Kepareda of juice and black Newt skin is required now. {Nl}
QUEST_LV_0100_20150312_000098	왜 그걸 가지고 계신거죠?{nl}일단 제게 주세요. 기억의 파편을 만들게요.	Why do you have it? {Nl} once I please. Create a debris of memory.
QUEST_LV_0100_20150312_000099	이제 이 기억의 파편으로 잠든 동료들의 기억을 되살릴 거에요.	This, evokes the memory of fellow who are sleeping in the debris of this memory.
QUEST_LV_0100_20150312_000100	기억의 파편 없이는 쓰러뜨리기 힘들어요.{nl}인프로홀더의 뿔을 가져오세요.	It is difficult to defeat without debris of memory. Please bring a corner of the holder to {nl} infrastructure.
QUEST_LV_0100_20150312_000101	그런데 어째서 그 재료들을 가지고 있죠?	By the way, do you have why have that material?
QUEST_LV_0100_20150312_000102	그들은 이미 이 세상에 없는 사람들이에요.{nl}가이갈라스에 대한 원한으로 그 때의 일을 계속 반복하고 있군요.{nl}	They are already people who are not in this world. {Nl} You've repeated that at that time in the resentment of Gaigalas. {Nl}
QUEST_LV_0100_20150312_000103	가이갈라스를 처치하면 그들을 달랠 수 있어요.{nl}걱정하는 부엉이에게 가세요.	When defeat Gaigalas, you can look through them appeased. Please go to the owl to worry {nl}.
QUEST_LV_0100_20150312_000104	걱정하는 부엉이 조각상	Image of owl you are worried
QUEST_LV_0100_20150312_000105	잠들어 있는 동료들을 깨워 그 날의 마법을 완성시킬 수 있도록 도와주세요.{nl}기억의 파편으로요.	Please help so that it is possible to complete the magic of the day causing friends sleeping. {Nl} beyond the debris of memory.
QUEST_LV_0100_20150312_000106	동료들도 만족할 거예요.{nl}저는 동료들을 기억하며 이곳에 계속 서 있겠지요.	Colleagues would also be satisfied. {Nl} and stores my colleagues, it would have continued here.
QUEST_LV_0100_20150312_000107	이제 이쉼티니 진입로로 가시면 가이갈라스를 찾을 수 있어요.{nl}병사들의 원한을 반드시 풀어주세요.	Now you go to Isu~i Muny lamp, you can find this glass. Please be sure to release the resentment of {nl} soldiers.
QUEST_LV_0100_20150312_000108	저는 외진 곳에 있었기 때문에 잠들지 않았어요.{nl}하지만 그걸 전부 지켜 보는 건 너무 괴로웠어요.	I did not sleep because there was in the place where it was secluded. {Nl} is was very painful to watch it in completely.
QUEST_LV_0100_20150312_000109	제 동료들은 병사들을 도와주려던 찰나 당하고 말았어요.{nl}만약 그 때 동료들을 지켰다면, 가이갈라스를 약화시킬 마법이 완성되었겠죠.	My colleagues I have been the moment was going to give to help the soldiers. {Nl} If you kept the fellow at that time, would magic that this glass is weakening has been completed.
QUEST_LV_0100_20150312_000110	약을 빼앗아 벌컥벌컥 마시는 요나스의 몸에 뭔가 반응이 있는 것 같다.	There seems to be something reaction to the body of Jonas drink jerk and robbing the medicine.
QUEST_LV_0100_20150312_000111	고고학자 데지크	And Zeke to archaeologist
QUEST_LV_0100_20150312_000112	아이리네라고, 사라진 조수를 찾고 있소. {nl}내가 그녀를 찾으러 갈 수 있도록 주변의 몬스터를 없애 줄 수 있겠소?	And noticed looking and children Rine, the assistant disappeared. {Nl} I have decided to get rid of the monsters around so that it is possible to go to look for her?
QUEST_LV_0100_20150312_000113	뭘 발견해도 흥분하지 말라고 단단히 일러 두었건만.{nl}또 저질렀군.	What also found to not excitement, it but was told firmly. {Nl} also committed group.
QUEST_LV_0100_20150312_000114	고맙소.{nl}난 빨리 아이리네를 찾으러 먼저 가보겠소.	Or there. {Nl} I looking for immediately observe the children, first went Getoso.
QUEST_LV_0100_20150312_000115	기술자 하이넨	Technician Heinen
QUEST_LV_0100_20150312_000116	이 케이블카는 허가를 받아야 이용할 수 있어.{nl}미안하지만 비에니사 고원 쪽으로 돌아가게.{nl}	The cable car are able to use it if without the permission. Sorry {nl}, but return toward the Nisa plateau to rain. {Nl}
QUEST_LV_0100_20150312_000117	하지만 주변의 성가신 몬스터를 없애 준다면 생각해 보지.	However, consider I felt that if removing the peripheral of annoying monsters.
QUEST_LV_0100_20150312_000118	위험한 몬스터들을 해치고 지나가느니 케이블카를 이용하는 게 더 나을거야.{nl}물론 케이블카를 탈 수 있을 때의 얘기지만.	It is a good idea is to use the Toka cable car too harm the dangerous monsters. {Nl} Of course, it is the story of when the can and child to ride a cable car.
QUEST_LV_0100_20150312_000119	생각보다 괜찮은 실력이야.{nl}거래를 제안하고 싶군.	It's a decent talent than I thought. What I want to provide a transaction of {nl}.
QUEST_LV_0100_20150312_000120	누오토리 절벽의 이상한 결계를 부숴준다면 케이블카를 계속 이용하게 해 주지.{nl}그 결계때문에 몬스터가 자꾸 늘어나거든.	Press If you break a strange barrier of auto cliff, and me to continue the use of the cable car. {Nl} If we monster more and more for the barrier.
QUEST_LV_0100_20150312_000121	결계가 부서졌으니 약속대로 케이블카는 마음껏 이용하게.{nl}내 옆의 윌리엄이나 반대편의 캔버그에게 내 이름을 대면 될 거야.	As promised cable car because he has broken the barrier is to be used to the full extent. {Nl} next to me of William and the other side of the cans bug Sada face my name.
QUEST_LV_0100_20150312_000122	그 결계는.. 어라. 언제 만들어 진 거지?{nl}언젠가부터 있던건데 기억이 잘 안 나네.{nl}	The barrier is .. there. When do you made? I No memory does not work I would have had from time {nl}. {Nl}
QUEST_LV_0100_20150312_000123	하여간 그 결계 때문에 몬스터가 늘어나는 건 확실해.{nl}	Anyway certainly monster for the barrier increases. {Nl}
QUEST_LV_0100_20150312_000124	여길 지켜 줄 병사가 너무 적어서 그래. {nl}요즘 같은 시대에 누가 이런 위험한 곳에 오려 하겠어?{nl}	Likely is too small soldiers will protect here. {Nl} in times like these, who is going to try to Koyo in such dangerous places. {Nl}
QUEST_LV_0100_20150312_000125	롤란다스 요나스	Roland dozen Jonas
QUEST_LV_0100_20150312_000126	자카리엘 대왕이 무얼 지키고 싶어 한 건진 아무도 몰라.{nl}확실한 건 그 비밀을 풀고 싶은 게 우리 인간 뿐만은 아니라는 거야.	No one knows that Zasharieru the Great was rambling to what you want to protect. {Nl} certain of is, you want to have solved the secret is, it will not just us humans.
QUEST_LV_0100_20150312_000127	어서 대왕의 열쇠로 돌다리 망터의 모든 봉인들을 풀게.{nl}그 후엔 무엇을 해야 할지 스스로 알게 될 게다.	Loosen all of the seal of Ishibashi cloak in the Great key Te. {Nl} then it would be to know what it yourself what to.
QUEST_LV_0100_20150312_000128	아이리네는 찾았지만 구해낼 방도가 없소.{nl}로도마 제2 유적지의 이상한 결계에 묶여 있는데 내 힘으론 도저히..	Room Opuso children Rine is found postponed. {Nl} It is also surrounded by the absence of the second ruins of mysterious barrier, but possibly it to have my power ..
QUEST_LV_0100_20150312_000129	조수 아이리네	Assistant children Rine
QUEST_LV_0100_20150312_000130	결계 때문에 꼼짝을 못하겠어요.{nl}어서 로도마 유적지에 있는 세 개의 결계 좀 어떻게 해주세요.	I would like to not be hamstrung for barrier. Please be how to {nl} 3 of crying also remains one of the barrier a little.
QUEST_LV_0100_20150312_000131	아직인가요? 아이 참..	Do you yet? Children true ..
QUEST_LV_0100_20150312_000132	이런 거에 걸릴 줄 제가 알았겠어요?{nl}어휴, 그 남자를 쫓아갔다가 이게 뭐람.	You know I can take such Goe? {Nl} huh, clumsy and went chasing the man.
QUEST_LV_0100_20150312_000133	용병 글렌	Mercenary Glen
QUEST_LV_0100_20150312_000134	최근 연구원 실종 사건이 번번히 일어나고 있습니다.{nl}사우가를 잡아 단서를 찾아 볼까 하는데 도와주실 수 있을까요?	Recent research disappearance incident has happened often. {Nl} Do you South is able to please help on whether Let's find a clue to grab?
QUEST_LV_0100_20150312_000135	사우가들은 전리품을 공평하게 나눠갖지요.{nl}그 안에서 실종의 실마리를 찾을 수 있을런지.	Sau us Ne have separately fair loot. {Nl} rush where you can find a clue of loss in that.
QUEST_LV_0100_20150312_000136	다행히 아주 오래 전의 것이로군요.{nl}그렇다면 몬스터에 의한 건 아니라는 건가.	Fortunately, So you before very long time. {Nl} Next, what is not due to the monster.
QUEST_LV_0100_20150312_000137	워낙 위험한 곳이다보니 실족이나 몬스터에 의해서 실종되는 일은 번번하지요.{nl}하지만 제가 찾는 건 그게 아니에요.{nl}	I think it is bonbon disappear by stumbling and monsters so too dangerous place. {Nl} However, I'm looking for, is not it. {Nl}
QUEST_LV_0100_20150312_000138	가끔 어떤 사람들은 실종되어도 다른 분들은 눈치채지 못하는 경우가 있거든요.{nl}마치 기억이 지워진 것 처럼요. 이상하죠?{nl}	Sometimes part of the people, I sometimes even been missing not notice other people. {Nl} is like as memory has been erased. What is more? {Nl}
